node_id,node_type,label,avg_rpi,n_paket,degree_cent,in_degree,pagerank,risk_influence,betweenness,cluster_id
L::Kab. Pesisir Selatan,lembaga,Kab. Pesisir Selatan,16.28,2989,0.0018,0.0,0.003183,0.000518,0.0,0
L::Kab. Buru,lembaga,Kab. Buru,27.57,298,0.0009,0.0,0.000317,8.7e-05,0.0,12
L::Kab. Bondowoso,lembaga,Kab. Bondowoso,23.24,6941,0.0026,0.0,0.007391,0.001718,0.0,0
L::Kab. Manggarai Barat,lembaga,Kab. Manggarai Barat,21.93,996,0.0022,0.0,0.001061,0.000233,0.0,0
L::Kab. Bangka Tengah,lembaga,Kab. Bangka Tengah,23.33,2766,0.0009,0.0,0.002946,0.000687,0.0,0
L::Kab. Banyuasin,lembaga,Kab. Banyuasin,23.41,3445,0.0025,0.0,0.003669,0.000859,0.0,0
L::Kab. Lampung Tengah,lembaga,Kab. Lampung Tengah,22.93,4449,0.0029,0.0,0.004738,0.001086,0.0,0
L::Kab. Muko Muko,lembaga,Kab. Muko Muko,25.67,5493,0.0018,0.0,0.005849,0.001502,0.0,0
L::Kab. Bulukumba,lembaga,Kab. Bulukumba,15.93,2492,0.0017,0.0,0.002654,0.000423,0.0,1
L::Kab. Muara Enim,lembaga,Kab. Muara Enim,22.75,5863,0.0024,0.0,0.006243,0.00142,0.0,0
L::Kab. Kolaka Timur,lembaga,Kab. Kolaka Timur,28.75,1694,0.0018,0.0,0.001804,0.000519,0.0,0
L::Kab. Polewali Mandar,lembaga,Kab. Polewali Mandar,25.95,3035,0.0025,0.0,0.003232,0.000839,0.0,0
L::Institut Teknologi Sepuluh Nopember,lembaga,Institut Teknologi Sepuluh Nopember,37.56,75,0.0001,0.0,8e-05,3e-05,0.0,0
L::Kab. Ponorogo,lembaga,Kab. Ponorogo,22.23,4790,0.0015,0.0,0.005101,0.001134,0.0,0
